created_at,updated_at,id,operation_id,operation_type,summ,rids,created,currency,description,summ_pickpoint,office_id,employee_id
2025-01-12 16:27:26.813077,2025-01-12 16:27:26.813098,125466,2218023304,Мотивация за оценки клиентов,1.57,[],2025-01-05 22:59:36,₽,"",0,2958,
2025-01-12 16:27:26.813537,2025-01-12 16:27:26.81355,125467,2218023303,Мотивация за оценки клиентов,4.68,[],2025-01-05 22:59:36,₽,"",0,2958,
2025-01-12 16:27:26.813879,2025-01-12 16:27:26.813894,125468,2218023318,Мотивация за оценки клиентов,2.61,[],2025-01-05 22:59:36,₽,"",0,2958,
2025-01-12 16:27:26.814068,2025-01-12 16:27:26.81408,125469,2218023302,Мотивация за оценки клиентов,6.06,[],2025-01-05 22:59:36,₽,"",0,2958,
2025-01-12 16:27:26.814237,2025-01-12 16:27:26.814249,125470,2218023317,Мотивация за оценки клиентов,2.63,[],2025-01-05 22:59:36,₽,"",0,2958,
2025-01-12 16:27:26.814403,2025-01-12 16:27:26.814414,125471,2218023315,Мотивация за оценки клиентов,2.61,[],2025-01-05 22:59:36,₽,"",0,2958,
2025-01-12 16:27:26.814567,2025-01-12 16:27:26.814579,125472,2218023316,Мотивация за оценки клиентов,2.97,[],2025-01-05 22:59:36,₽,"",0,2958,
2025-01-12 16:27:26.814848,2025-01-12 16:27:26.81486,125473,2218023314,Мотивация за оценки клиентов,3.6,[],2025-01-05 22:59:36,₽,"",0,2958,
2025-01-12 16:27:26.815021,2025-01-12 16:27:26.815033,125474,2218023313,Мотивация за оценки клиентов,2.4,[],2025-01-05 22:59:36,₽,"",0,2958,
2025-01-12 16:27:26.815185,2025-01-12 16:27:26.815196,125475,2218023307,Мотивация за оценки клиентов,4.77,[],2025-01-05 22:59:36,₽,"",0,2958,
2025-01-12 16:27:26.815348,2025-01-12 16:27:26.815359,125476,2218023306,Мотивация за оценки клиентов,4.15,[],2025-01-05 22:59:36,₽,"",0,2958,
